,id,latitude,longitude
173,5-34,50.00899,19.83852
174,5-35,50.00602,19.83852
175,6-1,50.107,19.84315
176,6-2,50.10403,19.84315
177,6-3,50.10106,19.84315
178,6-4,50.09809,19.84315
179,6-5,50.09512,19.84315
180,6-6,50.09215,19.84315
181,6-7,50.08918,19.84315
182,6-8,50.08621,19.84315
183,6-9,50.083239999999996,19.84315
184,6-10,50.08027,19.84315
185,6-11,50.0773,19.84315
186,6-12,50.074329999999996,19.84315
187,6-13,50.07136,19.84315
188,6-14,50.06839,19.84315
189,6-15,50.065419999999996,19.84315
190,6-16,50.06245,19.84315
191,6-17,50.05948,19.84315
192,6-18,50.056509999999996,19.84315
193,6-19,50.05354,19.84315
194,6-20,50.05057,19.84315
195,6-21,50.0476,19.84315
196,6-22,50.04463,19.84315
197,6-23,50.04166,19.84315
198,6-24,50.03869,19.84315
199,6-25,50.03572,19.84315
200,6-26,50.03275,19.84315
201,6-27,50.02978,19.84315
202,6-28,50.02681,19.84315
203,6-29,50.02384,19.84315
204,6-30,50.02087,19.84315
205,6-31,50.0179,19.84315
206,6-32,50.01493,19.84315
207,6-33,50.01196,19.84315
208,6-34,50.00899,19.84315
209,6-35,50.00602,19.84315
210,7-1,50.107,19.84778
211,7-2,50.10403,19.84778
212,7-3,50.10106,19.84778
213,7-4,50.09809,19.84778
214,7-5,50.09512,19.84778
215,7-6,50.09215,19.84778
216,7-7,50.08918,19.84778
217,7-8,50.08621,19.84778
218,7-9,50.083239999999996,19.84778
219,7-10,50.08027,19.84778
220,7-11,50.0773,19.84778
221,7-12,50.074329999999996,19.84778
222,7-13,50.07136,19.84778
223,7-14,50.06839,19.84778
224,7-15,50.065419999999996,19.84778
225,7-16,50.06245,19.84778
226,7-17,50.05948,19.84778
227,7-18,50.056509999999996,19.84778
228,7-19,50.05354,19.84778
229,7-20,50.05057,19.84778
230,7-21,50.0476,19.84778
231,7-22,50.04463,19.84778
232,7-23,50.04166,19.84778
233,7-24,50.03869,19.84778
234,7-25,50.03572,19.84778
235,7-26,50.03275,19.84778
236,7-27,50.02978,19.84778
237,7-28,50.02681,19.84778
238,7-29,50.02384,19.84778
239,7-30,50.02087,19.84778
240,7-31,50.0179,19.84778
241,7-32,50.01493,19.84778
242,7-33,50.01196,19.84778
243,7-34,50.00899,19.84778
244,7-35,50.00602,19.84778
245,8-1,50.107,19.85241
246,8-2,50.10403,19.85241
247,8-3,50.10106,19.85241
248,8-4,50.09809,19.85241
249,8-5,50.09512,19.85241
250,8-6,50.09215,19.85241
251,8-7,50.08918,19.85241
252,8-8,50.08621,19.85241
253,8-9,50.083239999999996,19.85241
254,8-10,50.08027,19.85241
255,8-11,50.0773,19.85241
256,8-12,50.074329999999996,19.85241
257,8-13,50.07136,19.85241
258,8-14,50.06839,19.85241
259,8-15,50.065419999999996,19.85241
260,8-16,50.06245,19.85241
261,8-17,50.05948,19.85241
262,8-18,50.056509999999996,19.85241
263,8-19,50.05354,19.85241
264,8-20,50.05057,19.85241
265,8-21,50.0476,19.85241
266,8-22,50.04463,19.85241
267,8-23,50.04166,19.85241
268,8-24,50.03869,19.85241
269,8-25,50.03572,19.85241
270,8-26,50.03275,19.85241
271,8-27,50.02978,19.85241
272,8-28,50.02681,19.85241
273,8-29,50.02384,19.85241
274,8-30,50.02087,19.85241
275,8-31,50.0179,19.85241
276,8-32,50.01493,19.85241
277,8-33,50.01196,19.85241
278,8-34,50.00899,19.85241
279,8-35,50.00602,19.85241
280,9-1,50.107,19.85704
281,9-2,50.10403,19.85704
282,9-3,50.10106,19.85704
283,9-4,50.09809,19.85704
284,9-5,50.09512,19.85704
285,9-6,50.09215,19.85704
286,9-7,50.08918,19.85704
287,9-8,50.08621,19.85704
288,9-9,50.083239999999996,19.85704
289,9-10,50.08027,19.85704
290,9-11,50.0773,19.85704
291,9-12,50.074329999999996,19.85704
292,9-13,50.07136,19.85704
293,9-14,50.06839,19.85704
294,9-15,50.065419999999996,19.85704
295,9-16,50.06245,19.85704
